date,GOOGLSMA,GOOGLClose,EBAYSMA,EBAYClose
2019-12-24 10:00:00,1350.7314,1397.3199,36.351,35.625
2019-12-24 10:05:00,1350.6058,1397.9399,36.3463,35.6252
2019-12-24 10:10:00,1350.4655,1397.9399,36.3412,35.605
2019-12-24 10:15:00,1350.3335,1398.8051,36.3365,35.615
2019-12-24 10:20:00,1350.2101,1398.89,36.3325,35.585
2019-12-24 10:25:00,1350.1198,1399.0,36.3278,35.555
2019-12-24 10:30:00,1350.0188,1398.39,36.3233,35.535
2019-12-24 10:35:00,1349.9370000000001,1398.65,36.3193,35.52
2019-12-24 10:40:00,1349.8303,1398.05,36.315,35.5
2019-12-24 10:45:00,1349.7166,1398.51,36.3109,35.54
2019-12-24 10:50:00,1349.6013,1398.4,36.3073,35.55
2019-12-24 10:55:00,1349.4908,1398.45,36.3037,35.595
2019-12-24 11:00:00,1349.3681,1399.26,36.2999,35.625
2019-12-24 11:05:00,1349.2526,1399.27,36.2961,35.63
2019-12-24 11:10:00,1349.142,1399.045,36.2926,35.605
2019-12-24 11:15:00,1349.0345,1398.96,36.2891,35.62
2019-12-24 11:20:00,1348.9319,1399.27,36.2858,35.63
2019-12-24 11:25:00,1348.8334,1399.5601,36.2823,35.625
2019-12-24 11:30:00,1348.7307,1400.0601,36.2781,35.62
2019-12-24 11:35:00,1348.6332,1401.58,36.2739,35.66
2019-12-24 11:40:00,1348.5507,1400.8370000000002,36.2698,35.655
2019-12-24 11:45:00,1348.4627,1400.86,36.2657,35.65
2019-12-24 11:50:00,1348.3827,1400.025,36.2617,35.675
2019-12-24 11:55:00,1348.3029,1400.5601,36.2579,35.69
2019-12-24 12:00:00,1348.2225,1400.86,36.2545,35.69
2019-12-24 12:05:00,1348.148,1400.8,36.2519,35.645
2019-12-24 12:10:00,1348.0844,1400.09,36.2487,35.64
2019-12-24 12:15:00,1348.0154,1399.54,36.2464,35.65
2019-12-24 12:20:00,1347.9534,1399.58,36.2435,35.615
2019-12-24 12:25:00,1347.8912,1398.58,36.2406,35.605
2019-12-24 12:30:00,1347.8166,1398.03,36.2377,35.61
2019-12-24 12:35:00,1347.7465,1398.265,36.2352,35.57
2019-12-24 12:40:00,1347.6615,1397.85,36.2328,35.505
2019-12-24 12:45:00,1347.5723,1397.7639,36.2306,35.485
2019-12-24 12:50:00,1347.5038,1398.88,36.2284,35.5
2019-12-24 12:55:00,1347.4481,1398.87,36.2259,35.51
2019-12-24 13:00:00,1347.3806,1398.89,36.2237,35.535
2019-12-24 13:05:00,1347.3136,1399.99,36.2211,35.515
2019-12-26 09:35:00,1347.2791,1399.4557,36.2228,35.525
2019-12-26 09:40:00,1347.2591,1399.26,36.2249,35.525
2019-12-26 09:45:00,1347.2405,1398.0699,36.2264,35.525
2019-12-26 09:50:00,1347.2363,1399.36,36.2282,35.52
2019-12-26 09:55:00,1347.2061,1398.88,36.2293,35.535
2019-12-26 10:00:00,1347.1879,1398.11,36.2298,35.55
2019-12-26 10:05:00,1347.1809,1397.9,36.2313,35.58
2019-12-26 10:10:00,1347.1789999999999,1397.97,36.2328,35.585
2019-12-26 10:15:00,1347.1883,1398.72,36.2341,35.57
2019-12-26 10:20:00,1347.1903,1399.1801,36.2354,35.565
2019-12-26 10:25:00,1347.1883,1399.04,36.2363,35.57
2019-12-26 10:30:00,1347.1718,1399.7321,36.2377,35.575
2019-12-26 10:35:00,1347.1458,1402.75,36.2392,35.615
2019-12-26 10:40:00,1347.1191,1400.9351,36.2408,35.635
2019-12-26 10:45:00,1347.1176,1400.53,36.243,35.65
2019-12-26 10:50:00,1347.0927,1399.76,36.2446,35.6133
2019-12-26 10:55:00,1347.0763,1400.52,36.2471,35.595
2019-12-26 11:00:00,1347.0791,1399.59,36.2493,35.5
2019-12-26 11:05:00,1347.1416,1397.1621,36.2531,35.475
2019-12-26 11:10:00,1347.2406,1397.41,36.2559,35.45
2019-12-26 11:15:00,1347.3574,1397.27,36.2592,35.38
2019-12-26 11:20:00,1347.4701,1396.98,36.2623,35.42
2019-12-26 11:25:00,1347.5841,1398.5405,36.266,35.35
